date,city,precipitation,sunshine,templature
1935-02-01,Tokyo,110.7,143.7,4.8
1935-03-01,Tokyo,115.9,193.4,7.1
1935-04-01,Tokyo,142.2,182.1,12.5
1935-05-01,Tokyo,84.2,200,16.7
1935-06-01,Tokyo,131.3,189,21.5
1935-07-01,Tokyo,99.1,181.3,24.3
1935-08-01,Tokyo,196.6,172.4,24.8
1935-09-01,Tokyo,369.3,100.1,20.8
1935-10-01,Tokyo,214.4,163,17.1
1935-11-01,Tokyo,74.7,146.2,10.7
1935-12-01,Tokyo,59.8,141,5.5
1936-01-01,Tokyo,32.1,212.6,2
1936-02-01,Tokyo,129,158.5,2.5
1936-03-01,Tokyo,41.4,201.3,6.1
1936-04-01,Tokyo,198.9,154.1,12
1936-05-01,Tokyo,169.1,156.2,16.4
1936-06-01,Tokyo,120.4,202.3,21.4
1936-07-01,Tokyo,246.3,218,24.9
1936-08-01,Tokyo,92.5,208.8,26.5
1936-09-01,Tokyo,232,170.4,24.2
1936-10-01,Tokyo,252.8,123.3,16
1936-11-01,Tokyo,60.1,136.6,11.2
1936-12-01,Tokyo,53,143.9,6.2
1937-01-01,Tokyo,78.1,142.2,4.6
1937-02-01,Tokyo,144.9,132.7,5.7
1937-03-01,Tokyo,145.7,168.2,8.1
1937-04-01,Tokyo,126.5,189.7,12.8
1937-05-01,Tokyo,124.5,200.4,17.6
1937-06-01,Tokyo,131.4,156.2,19.6
1937-07-01,Tokyo,48.6,227.6,26.3
1937-08-01,Tokyo,10.8,284.9,28.2
1937-09-01,Tokyo,181.6,171.5,22.7
1937-10-01,Tokyo,192.2,132.3,16.3
1937-11-01,Tokyo,95.4,137.9,11.2
1937-12-01,Tokyo,79.3,222.1,5.2
1938-01-01,Tokyo,32,198.1,2.7
1938-02-01,Tokyo,65.5,206.6,3.4
1938-03-01,Tokyo,92,134.6,8.8
1938-04-01,Tokyo,96.4,213,13.2
1938-05-01,Tokyo,127.5,180.2,18.7
1938-06-01,Tokyo,649,130.1,20.8
1938-07-01,Tokyo,255.1,170.4,25
1938-08-01,Tokyo,191.9,181.9,26
1938-09-01,Tokyo,265.2,138.1,22.4
1938-10-01,Tokyo,351.5,142.6,16.7
1938-11-01,Tokyo,21,183.4,10.8
1938-12-01,Tokyo,82.5,167.7,5.9
1939-01-01,Tokyo,35.1,199.9,2.4
1939-02-01,Tokyo,52.7,184.4,4.1
1939-03-01,Tokyo,98.3,217.1,7.4
1939-04-01,Tokyo,211.3,186.4,12.8
1939-05-01,Tokyo,139.1,211.6,17
1939-06-01,Tokyo,235.4,184.9,20.7
1939-07-01,Tokyo,172.2,246.3,26.5
1939-08-01,Tokyo,293.5,226.8,25.8
1939-09-01,Tokyo,266.7,160.9,23.7
1939-10-01,Tokyo,182.1,136.5,17.9
1939-11-01,Tokyo,53.8,136.7,12.3
1939-12-01,Tokyo,9.8,173,5.4
1940-01-01,Tokyo,0,226.1,2.7
1940-02-01,Tokyo,53.9,188.5,3.7
1940-03-01,Tokyo,65.2,228.6,8.2
1940-04-01,Tokyo,163.4,219.2,13.1
1940-05-01,Tokyo,54.3,269.5,17.7
1940-06-01,Tokyo,185.7,233.4,22.1
1940-07-01,Tokyo,28.4,267.2,26.9
1940-08-01,Tokyo,187,198.7,24.9
1940-09-01,Tokyo,191.5,158.6,21.7
1940-10-01,Tokyo,72.3,160.5,17.8
1940-11-01,Tokyo,65.8,118.1,12.3
1940-12-01,Tokyo,26.9,174.4,6.2
1941-01-01,Tokyo,51.7,199.3,4.8
1941-02-01,Tokyo,64.5,185.9,5
1941-03-01,Tokyo,157,166.3,8.2
1941-04-01,Tokyo,75.1,185.1,12.7
1941-05-01,Tokyo,206.9,190.6,17.6
1941-06-01,Tokyo,209.6,118.7,20.8
1941-07-01,Tokyo,673.7,122.9,23.7
1941-08-01,Tokyo,181.5,146.6,25.4
1941-09-01,Tokyo,218.6,104.5,20.6
1941-10-01,Tokyo,54.6,193.6,17.3
1941-11-01,Tokyo,165.6,98.2,11.7
1941-12-01,Tokyo,96.4,145.6,6.9
1942-01-01,Tokyo,5.9,217.3,2.9
1942-02-01,Tokyo,75.7,139.5,2.6
1942-03-01,Tokyo,113.6,177.1,10.3
1942-04-01,Tokyo,155,208.6,13.6
1942-05-01,Tokyo,132.6,200.9,17.3
1942-06-01,Tokyo,171.9,139.5,22.2
1942-07-01,Tokyo,8.6,215.4,27.5
1942-08-01,Tokyo,277.3,210.7,27
1942-09-01,Tokyo,278,158,24.9
1942-10-01,Tokyo,147.4,184.5,16.4
1942-11-01,Tokyo,81.6,178.6,10.1
1942-12-01,Tokyo,21.9,188.2,5.4
1943-01-01,Tokyo,61.9,220.4,2.4
1943-02-01,Tokyo,91.2,203.4,4
1943-03-01,Tokyo,31.4,191,6.8
1943-04-01,Tokyo,120.3,208.4,11.8
1943-05-01,Tokyo,131.5,193.9,17.8
1943-06-01,Tokyo,125.2,122.4,21.5
1943-07-01,Tokyo,134.9,213.3,25.1
1943-08-01,Tokyo,109,235.2,27.4
1943-09-01,Tokyo,186.3,125,24.4
1943-10-01,Tokyo,363.4,131.9,17.2
1943-11-01,Tokyo,22.5,162,10.8
1943-12-01,Tokyo,13.7,170.1,5.7
